,size,cuda-1,cuda-2,cuda-4,cuda-8,cuda-16,cuda-32,omp-target-1,omp-target-2,omp-target-4,omp-target-8,omp-target-16,omp-target-32
108,11585.0,79.6172,80.9482,68.2374,65.8215,58.2706,57.1559,22.7286,22.6814,21.5196,21.8796,21.0092,20.9394
109,12416.0,87.4936,86.1796,72.9425,70.4469,62.5877,61.5053,24.0301,23.9553,23.1094,22.815,21.5031,21.6808
110,13307.0,93.6453,90.1001,76.218,74.4838,66.1287,66.5868,26.098,25.5718,24.9742,24.582,23.8137,23.4687
111,14263.0,101.19,96.7688,82.1696,81.4043,71.1585,71.6848,26.7893,27.1726,26.4124,25.9316,26.1139,25.4476
112,15286.0,108.149,105.474,87.0232,85.4916,75.7152,76.8735,29.8891,29.1827,28.1498,28.4489,27.7595,25.65
113,16384.0,115.432,111.101,96.4701,94.6129,82.6914,82.2196,31.6929,31.6305,30.2067,29.6937,28.5142,28.5914
114,17559.0,120.327,121.243,100.04,101.298,88.2398,86.6648,33.9494,33.4701,31.9601,32.1276,30.4993,30.8835
115,18820.0,129.835,126.92,107.332,107.196,94.5236,94.1079,36.0463,35.8156,34.1088,33.7757,32.9054,32.9363
116,20171.0,136.811,136.443,119.329,114.842,100.005,100.289,38.6491,38.4108,36.3182,36.7112,34.6252,35.8272
117,21618.0,146.447,133.204,114.05,106.889,89.828,89.9913,40.664,40.8038,39.4906,38.63,35.8093,36.0908
118,23170.0,155.057,146.605,121.885,116.816,92.8729,84.5447,44.3911,43.2677,40.9301,41.1356,38.6857,34.1106
119,24833.0,172.375,159.18,131.09,124.122,81.0786,65.6818,46.9738,46.7639,43.5087,44.0568,37.9793,32.6949
120,26615.0,179.314,168.611,138.184,132.536,59.6928,62.3959,50.1951,49.6722,47.5879,45.9176,33.8632,33.6422
121,28526.0,192.19,179.49,145.349,142.282,58.3187,52.7116,53.4331,52.4784,51.2167,47.3935,34.5358,29.6958
122,30573.0,198.464,186.49,156.13,151.249,59.82,46.1206,57.6519,56.3043,53.5443,52.8382,35.6689,29.8199
123,32768.0,206.784,191.296,154.931,147.509,61.0571,45.1898,60.8564,60.317,56.7741,55.4494,36.2154,29.4205
124,35119.0,220.065,205.617,166.72,154.705,59.9632,44.8576,66.9598,64.1875,60.9061,58.9025,37.6666,30.356
125,37640.0,240.757,219.281,176.721,164.952,59.8846,44.7675,70.1508,68.4485,63.6499,61.4844,38.6691,31.1618
126,40342.0,250.559,229.422,189.809,175.224,62.6046,44.6647,74.2663,73.267,68.9851,65.9058,40.5708,32.2287
127,43237.0,274.612,247.61,191.048,164.696,63.6706,45.9619,78.5458,78.299,72.4258,69.5975,41.5113,32.7295
128,46340.0,283.727,258.743,202.534,177.749,64.5435,47.7201,84.8131,84.0407,78.0382,74.1039,42.7826,33.5633
129,49667.0,304.689,279.772,215.138,154.655,69.7649,47.6415,89.2366,88.0592,82.6627,69.5803,45.3702,34.6939
130,53231.0,323.723,279.968,215.596,117.061,68.0006,48.524,97.2929,94.8236,87.3946,63.326,46.6755,35.7711
131,57052.0,346.128,305.859,230.32,122.549,65.4648,48.6516,100.912,101.062,91.189,68.0312,46.3407,37.6257
132,61147.0,361.667,328.849,247.835,125.527,62.1463,47.2332,108.397,109.501,97.2241,70.0843,46.4017,37.213
133,65536.0,369.573,340.975,247.7,116.272,60.5992,46.3416,116.062,114.958,102.682,70.0256,46.5197,37.0918
134,70239.0,401.273,356.293,258.188,113.015,61.6248,47.0575,124.076,122.192,108.902,68.5417,47.4285,37.642
135,75281.0,433.325,371.446,263.333,111.704,62.4474,46.696,129.178,128.393,113.149,69.6389,47.455,37.4209
136,80684.0,455.813,392.597,281.003,114.751,62.7296,46.9091,140.762,134.384,121.587,71.7179,48.4562,38.1989
137,86475.0,493.762,405.703,281.679,110.638,62.3684,46.5849,146.841,144.705,124.613,73.105,49.2776,39.5165
138,92681.0,518.14,421.833,275.852,111.736,65.304,48.9793,153.076,155.98,124.918,76.3193,51.8362,40.5248
139,99334.0,547.931,438.344,246.368,110.776,67.8787,51.2789,165.865,164.498,125.251,77.0917,54.6567,42.3902
140,106463.0,574.445,458.171,193.015,92.7479,69.042,52.3015,176.329,172.354,112.967,68.8387,56.5391,44.5932
141,114104.0,604.16,477.027,169.501,87.7994,72.0007,53.1801,189.46,184.802,105.361,64.9458,58.8903,46.1284
142,122294.0,634.173,503.807,167.213,83.5774,73.9633,52.7899,198.721,194.428,106.121,65.1537,59.5844,45.7027
143,131072.0,661.293,489.071,160.829,82.1964,74.0496,52.7258,205.18,204.331,107.259,66.0587,60.6871,45.9903
144,140479.0,700.196,508.892,163.095,82.6971,74.2186,52.3204,222.499,214.535,111.965,67.1841,61.5651,46.1229
145,150562.0,722.818,517.708,160.434,83.5959,74.0887,52.7007,235.175,221.786,112.225,69.102,62.1696,47.3244
146,161368.0,767.229,533.186,160.179,83.6262,73.3765,51.7554,247.388,236.824,111.163,70.7525,61.6468,47.5409
147,172950.0,803.351,561.273,156.301,85.196,72.6196,51.1902,256.75,252.559,107.697,72.2846,62.909,47.5861
148,185363.0,836.676,555.419,146.309,86.2595,73.9668,51.1576,272.672,264.104,104.796,74.0157,63.6881,48.4746
149,198668.0,870.206,470.315,130.076,86.7815,74.7646,51.3669,294.165,264.621,101.53,75.454,65.5536,49.5285
