,size,cuda-1,cuda-2,cuda-4,cuda-8,cuda-16,cuda-32,cuda-64,omp-target-1,omp-target-2,omp-target-4,omp-target-8,omp-target-16,omp-target-32,omp-target-64
16,19.0,14.2596,14.2597,14.2608,14.2085,7.1196,4.74344,2.84295,14.2317,14.2309,14.2308,14.2305,14.2297,14.2277,14.225
17,21.0,15.7606,15.7606,15.7626,15.7041,7.86913,5.23602,2.62025,15.7307,15.7288,15.7286,15.7285,15.727,15.7255,15.7205
18,22.0,16.5111,16.5115,16.5137,16.452,8.24387,5.48526,2.74503,16.4791,16.4777,16.4779,16.4775,16.4765,16.4717,16.4702
19,24.0,18.0125,18.0131,18.0152,17.9477,8.99334,5.98401,2.99266,17.9778,17.976,17.9757,17.975,17.974,17.9692,17.9622
20,25.0,18.763,18.7636,18.7668,18.6953,9.33259,4.67969,2.67351,18.7266,18.7247,18.725,18.7249,18.7161,18.7211,18.7166
21,27.0,20.2647,20.2654,20.268,20.1909,10.0983,5.05398,2.88584,20.2247,20.2223,20.2228,20.2228,20.2141,20.2162,20.2119
22,29.0,21.766,21.7667,21.7693,21.6867,10.8462,5.423,2.71349,21.7223,21.7204,21.7207,21.7205,21.7138,21.7161,21.7118
23,32.0,24.0183,24.0192,24.0213,23.9302,11.9681,5.98391,2.99277,23.97,23.968,23.9681,23.9675,23.9456,23.9591,23.9535
24,34.0,25.5195,25.521,25.4261,12.7406,8.48901,5.09022,2.82772,25.4678,25.4649,25.4643,25.4628,25.4563,25.4535,25.4549
25,36.0,27.021,27.0229,26.9213,13.4901,8.98826,5.38969,2.99278,26.9654,26.9609,26.9632,26.9611,26.9505,26.9552,26.9469
26,39.0,29.2735,29.275,29.1648,14.6143,9.73744,5.83439,2.918,29.2129,29.2109,29.2097,29.2076,29.1971,29.2033,29.1968
27,42.0,31.5255,31.5268,31.4083,15.7384,10.4731,5.23936,2.85778,31.46,31.4554,31.4564,31.4558,31.4451,31.452,31.4491
28,45.0,33.7771,33.779,33.652,16.8625,11.2212,5.60996,2.80667,33.7057,33.7034,33.7045,33.7025,33.6938,33.6979,33.6956
29,48.0,36.0287,36.0308,35.8957,17.9867,11.9694,5.98396,2.99282,35.9534,35.9511,35.9508,35.9481,35.9417,35.9445,35.9275
