,size,cuda-1,cuda-2,cuda-4,cuda-8,cuda-16,cuda-32,omp-target-1,omp-target-2,omp-target-4,omp-target-8,omp-target-16,omp-target-32
179,1589344.0,2499.21,592.372,287.682,213.388,191.764,143.854,1172.1,487.301,267.342,202.753,169.943,146.793
180,1703416.0,2382.94,562.774,288.307,214.373,192.075,143.671,1196.55,483.447,267.53,203.615,187.883,148.171
181,1825676.0,2373.88,550.74,288.134,213.862,192.071,144.768,1183.13,486.409,271.271,206.39,189.036,145.856
182,1956712.0,2354.61,556.403,288.678,214.728,192.079,145.255,1166.5,489.02,273.334,206.744,187.535,138.042
183,2097152.0,2142.04,555.974,291.139,215.142,190.655,140.146,1174.79,498.876,274.13,206.605,191.782,151.337
184,2247671.0,2041.18,560.438,274.065,215.782,192.439,144.339,1149.28,505.024,276.619,208.151,189.373,151.201
185,2408995.0,2167.11,561.097,292.679,215.824,191.459,146.22,1166.02,508.543,276.441,209.632,192.454,153.364
186,2581896.0,1981.6,561.805,294.663,216.229,187.606,145.296,1086.24,513.152,278.739,210.231,192.655,150.731
187,2767208.0,1544.35,561.073,291.557,216.305,192.906,144.721,1217.54,519.197,278.728,211.81,194.287,154.007
188,2965820.0,1501.49,567.559,291.625,216.813,194.386,144.968,1244.48,526.227,263.772,212.597,195.879,153.111
189,3178688.0,1468.43,572.153,293.099,204.742,179.603,144.792,1254.89,529.69,280.625,213.842,194.997,154.551
190,3406833.0,1468.03,574.755,293.846,217.513,194.893,144.327,1288.42,533.397,280.525,214.219,196.196,149.988
191,3651353.0,1466.51,575.814,292.801,217.881,195.181,143.903,1314.2,540.289,282.306,214.523,196.044,155.18
192,3913424.0,1493.2,578.864,295.499,218.227,194.6,144.893,1335.04,542.388,283.218,202.967,197.591,155.02
193,4194304.0,1499.94,581.267,295.672,218.643,194.433,144.615,1359.44,547.037,284.737,216.679,197.743,154.914
194,4495343.0,1498.81,580.877,296.063,219.049,194.792,143.962,1372.31,550.455,285.705,216.984,188.706,155.732
195,4817990.0,1515.18,583.219,296.578,218.431,195.323,144.354,1387.72,554.261,287.18,217.257,195.717,154.816
196,5163793.0,1539.15,583.644,297.293,219.376,194.663,143.894,1414.02,551.945,287.194,218.395,199.333,156.449
197,5534417.0,1538.7,587.17,298.426,219.398,194.748,143.857,1425.69,555.965,291.443,218.633,199.739,156.732
198,5931641.0,1541.11,589.377,299.408,218.624,194.54,143.777,1384.13,520.971,291.441,219.209,200.349,156.325
199,6357376.0,1526.57,590.573,298.892,217.74,194.861,143.102,1441.14,558.778,289.253,219.593,197.774,156.403
200,6813666.0,1523.32,587.717,298.935,217.862,194.539,144.024,1441.56,560.452,290.525,218.823,197.08,157.305
201,7302707.0,1531.31,587.425,299.498,217.809,195.151,142.0,1439.75,564.68,278.919,218.62,201.394,157.866
202,7826848.0,1525.49,587.528,300.162,217.475,194.202,143.36,1453.3,566.827,291.252,219.163,201.37,157.891
203,8388608.0,1534.4,590.986,300.288,217.876,194.256,142.534,1459.66,575.227,294.191,218.82,200.941,158.022
204,8990687.0,1544.58,592.067,293.437,217.46,194.224,143.305,1473.4,579.239,294.44,219.209,201.856,157.905
205,9635980.0,1557.7,592.71,296.435,217.872,194.651,142.596,1484.76,581.614,294.942,219.319,201.841,158.079
206,10327587.0,1553.02,588.342,296.736,217.83,194.381,142.767,1480.36,583.919,295.414,221.754,202.113,158.007
207,11068834.0,1563.6,596.339,301.073,218.365,194.195,138.391,1490.33,585.308,297.432,221.977,202.568,158.492
208,11863283.0,1563.47,596.804,300.409,217.789,194.405,142.658,1498.91,583.649,293.404,220.564,202.751,157.989
209,12714752.0,1566.04,597.796,297.998,217.815,188.293,142.41,1511.07,580.526,298.429,220.493,202.677,158.597
210,13627333.0,1576.88,597.804,301.893,218.264,191.398,142.075,1463.58,577.681,299.26,220.771,202.636,158.812
211,14605414.0,1431.33,598.463,302.0,217.792,194.225,142.291,1437.0,583.599,297.387,217.766,203.325,158.962
212,15653696.0,1572.67,588.966,302.213,218.166,193.961,141.993,1504.99,584.081,294.482,221.208,202.73,159.355
213,16777216.0,1564.15,601.538,300.855,218.166,194.216,141.804,1513.0,591.626,294.186,221.164,202.873,158.894
