,size,cuda-1,cuda-2,cuda-4,cuda-8,cuda-16,cuda-32,cuda-64,omp-target-1,omp-target-2,omp-target-4,omp-target-8,omp-target-16,omp-target-32,omp-target-64
68,724.0,496.296,248.232,124.154,62.1106,31.075,16.0255,8.14318,490.272,490.324,490.256,490.298,490.276,487.557,487.668
69,776.0,531.947,266.056,133.354,76.1747,40.9888,21.2959,10.8638,525.506,525.513,525.571,525.536,525.563,522.618,522.615
70,831.0,569.617,283.23,142.543,81.4991,43.8527,21.9246,10.9625,562.786,562.723,562.836,562.663,562.807,559.584,559.809
71,891.0,610.767,305.461,152.803,87.3679,43.6608,21.8277,10.9145,603.407,603.29,603.478,603.329,600.088,307.535,310.062
72,955.0,654.651,327.406,163.773,81.9214,43.6801,21.8373,10.9187,646.763,646.751,646.709,646.683,643.242,329.612,332.036
73,1024.0,701.94,351.074,175.596,87.8487,43.9144,21.9515,10.9757,693.374,693.411,693.502,693.273,689.662,353.445,354.635
74,1097.0,751.973,376.134,188.14,107.566,53.7642,26.8759,13.6827,743.027,743.032,743.105,742.771,738.935,378.654,378.919
75,1176.0,806.054,403.195,201.653,100.891,53.8032,26.8899,13.6735,796.111,796.595,796.453,796.34,792.137,405.827,406.103
76,1260.0,863.693,431.983,216.056,108.101,54.0359,27.0102,13.7201,853.433,853.507,853.307,853.323,847.793,434.93,435.054
77,1351.0,926.011,463.176,231.658,116.03,61.8562,31.9622,16.2591,915.088,915.043,833.066,915.0,909.728,460.34,460.303
78,1448.0,992.52,496.457,248.297,124.221,62.1357,32.0471,16.2836,979.866,980.831,979.93,980.59,974.737,493.15,493.376
79,1552.0,1063.89,532.091,266.131,152.176,76.0537,38.0221,19.0118,1051.06,1051.31,1051.07,1050.97,1045.01,528.875,528.358
80,1663.0,1139.94,570.161,285.179,142.666,76.0601,38.0274,19.0135,1125.94,1126.5,1126.37,1126.15,1119.89,566.631,566.075
81,1782.0,1221.39,610.93,305.566,152.863,76.4123,38.1987,19.1002,1207.0,1206.06,1207.02,1200.1,615.109,413.846,414.029
82,1910.0,1309.14,654.758,327.514,163.857,87.3485,43.6731,21.8369,1293.71,1293.78,1293.15,1285.8,659.297,443.544,443.694
83,2048.0,1403.71,702.178,351.164,175.658,87.8089,43.9009,21.9497,1386.86,1386.77,1387.21,1379.08,706.946,475.533,475.752
84,2194.0,1503.76,752.211,376.251,188.185,94.109,48.5479,24.6725,1486.06,1485.14,1486.01,1476.5,756.961,499.624,499.517
85,2352.0,1612.15,806.434,403.35,201.745,107.571,53.7742,27.3465,1593.14,1592.85,1593.03,1583.85,811.75,535.459,535.305
86,2521.0,1728.0,864.352,432.276,216.188,108.1,54.0377,27.0277,1706.89,1707.6,1707.22,1697.85,870.243,573.91,573.756
87,2702.0,1851.8,926.364,463.335,231.736,115.906,59.788,29.8959,1829.12,1829.69,1830.12,1819.43,920.986,474.03,379.667
88,2896.0,1984.8,992.877,496.601,248.379,124.235,64.0846,32.5697,1961.37,1961.06,1960.43,1949.93,985.904,507.989,402.91
89,3104.0,2127.48,1064.1,532.3,266.218,141.983,70.9691,35.4896,2102.21,2101.64,2102.34,2090.28,1057.36,530.695,427.263
90,3326.0,2279.79,1140.24,570.326,285.189,142.625,71.2917,35.6521,2252.57,2252.79,2250.71,2239.54,1132.4,568.546,455.957
91,3565.0,2443.5,1222.15,611.33,305.702,152.869,76.4097,38.214,2413.35,2411.65,2402.45,1230.25,827.917,502.364,488.112
92,3821.0,2618.94,1309.89,655.219,327.651,163.846,81.9008,40.9559,2587.6,2587.76,2573.6,1318.36,887.313,538.323,523.095
93,4096.0,2807.3,1404.17,702.307,351.247,175.621,87.7987,43.9025,2773.92,2774.22,2757.53,1413.63,950.97,560.807,560.62
94,4389.0,3008.18,1504.6,752.636,376.364,188.225,97.1158,49.3559,2972.44,2971.62,2955.62,1514.65,999.494,516.694,496.465
95,4705.0,3224.83,1612.81,806.768,403.479,201.774,104.094,52.0571,3186.11,3185.41,3169.28,1623.74,1070.61,553.731,482.442
96,5042.0,3455.71,1728.38,864.552,432.341,216.202,108.08,54.0554,3415.06,3413.45,3395.91,1739.92,1147.84,575.935,509.754
97,5404.0,3704.03,1852.67,926.606,463.397,231.736,119.577,59.7889,3660.32,3658.13,3639.71,1840.18,948.002,546.128,546.008
98,5792.0,3970.0,1985.7,993.102,496.675,248.321,124.158,63.0629,3920.93,3922.69,3900.69,1970.93,1015.89,567.63,512.996
99,6208.0,4254.84,2128.31,1064.37,532.343,266.192,133.103,67.5978,4202.89,4204.43,4180.53,2112.64,1061.4,549.546,549.376
100,6653.0,4559.85,2280.92,1140.75,570.487,285.241,142.609,71.3097,4506.06,4504.7,4480.93,2263.98,1137.27,571.058,570.106
101,7131.0,4887.8,2444.84,1222.65,611.456,305.732,152.859,76.4312,4830.2,4803.82,2462.08,1656.13,1004.87,561.388,560.903
102,7643.0,5238.84,2620.37,1310.45,655.361,327.7,163.836,81.9186,5176.49,5147.29,2637.5,1774.58,1076.81,583.662,541.301
103,8192.0,5614.91,2808.6,1404.61,702.445,351.237,175.598,87.7996,5548.11,5517.83,2827.58,1902.04,1121.51,580.528,563.528
104,8779.0,6017.36,3009.86,1505.23,752.789,376.404,188.183,95.5836,5943.27,5913.27,3029.72,1998.58,1033.42,565.695,564.653
105,9410.0,6449.53,3226.21,1613.35,806.858,403.466,201.698,100.853,6373.78,6338.45,3247.53,2141.61,1107.48,588.954,555.577
106,10085.0,6912.03,3457.54,1729.14,864.694,432.397,216.165,108.09,6829.18,6792.26,3480.12,2295.5,1151.8,579.145,579.014
107,10809.0,7408.01,3705.82,1853.31,926.812,463.472,231.679,117.68,7317.99,7279.63,3679.29,1896.1,1092.38,573.653,573.536
108,11585.0,7939.28,3971.79,1986.34,993.348,496.712,248.316,126.14,7846.05,7802.27,3942.71,2031.77,1135.3,586.334,574.117
109,12416.0,8509.28,4256.5,2128.77,1064.58,532.344,266.131,133.074,8409.62,8358.63,4225.38,2122.43,1099.1,586.404,574.638
110,13307.0,9119.47,4562.02,2281.55,1140.95,570.457,285.223,142.62,9011.84,8961.05,4529.22,2274.43,1142.18,589.053,575.083
111,14263.0,9774.46,4889.79,2445.48,1222.91,611.451,305.698,152.859,9609.6,4925.92,3313.04,2009.59,1122.87,580.335,580.124
112,15286.0,10475.7,5240.16,2620.77,1310.6,655.3,327.608,163.829,10296.6,5276.43,3549.2,2153.34,1167.26,587.528,587.447
113,16384.0,11228.4,5616.76,2809.13,1404.77,702.397,351.143,175.603,11034.7,5654.83,3804.31,2243.1,1161.05,596.814,579.667
114,17559.0,12032.4,6019.93,3010.57,1505.46,752.833,376.361,188.204,11820.1,6060.51,3998.47,2066.94,1131.47,591.582,582.094
115,18820.0,12894.3,6452.13,3226.8,1613.61,806.844,403.388,201.717,12675.6,6492.89,4130.71,2214.84,1177.96,592.955,578.775
116,20171.0,13822.7,6915.36,3458.33,1729.5,864.867,432.341,216.187,13585.6,6961.83,4590.53,2303.51,1158.35,594.241,583.859
117,21618.0,14814.5,7411.55,3706.35,1853.42,926.851,463.379,231.705,14557.1,7363.08,3792.45,2184.76,1147.26,587.733,587.578
118,23170.0,15876.0,7943.71,3972.61,1986.39,993.345,496.664,248.333,15603.7,7886.11,4064.02,2270.62,1172.67,595.927,584.684
119,24833.0,17015.2,8514.11,4257.71,2129.01,1064.58,532.29,266.143,16718.4,8451.27,4244.53,2198.12,1172.86,595.039,595.066
120,26615.0,18234.7,9124.27,4563.13,2281.91,1140.97,570.508,285.264,17913.4,9056.18,4548.84,2284.45,1178.2,596.92,587.394
121,28526.0,9918.36,4957.83,2480.25,1323.34,639.889,314.696,305.716,9847.24,6624.53,4019.6,2245.67,1160.67,592.251,592.243
122,30573.0,10621.2,5311.57,2655.54,1327.83,664.435,337.213,327.655,10553.3,7099.75,4307.25,2334.66,1175.09,599.213,591.588
